number,yearnumber,month,minimumpressure,maximumspeed,koreaeffect
001,0001,05,930,46,0
002,0002,05,990,23,0
003,0003,07,940,44,0
004,0004,07,960,39,1
005,0005,07,992,21,0
006,0006,07,987,26,1
007,0007,07,996,18,0
008,0008,08,940,44,0
009,0009,08,975,33,0
010,0010,08,920,57,1
011,0011,08,985,21,0
012,0012,08,965,36,1
013,0013,08,985,21,0
014,0014,09,925,49,1
015,0015,09,990,23,0
016,0016,09,955,39,0
017,0017,09,980,28,0
018,0018,09,925,49,0
019,0019,10,965,36,0
020,0020,10,960,39,0
021,0021,11,985,31,0
022,0022,11,990,21,0
023,0023,12,955,41,0
024,0101,05,985,23,0
025,0102,06,965,38,0
026,0103,06,970,26,0
027,0104,07,965,38,0
028,0105,07,994,21,0
029,0106,07,955,38,0
030,0107,07,975,30,0
031,0108,07,960,38,0
032,0109,08,955,41,0
033,0110,08,992,18,0
034,0111,08,955,38,1
035,0112,08,930,46,0
036,0113,08,990,21,0
037,0114,08,990,18,0
038,0115,09,945,43,0
039,0116,09,960,33,0
040,0117,09,975,31,0
041,0118,09,945,43,0
042,0119,09,970,35,0
043,0120,10,950,40,0
044,0121,10,960,35,0
045,0122,10,925,50,0
046,0123,11,940,45,0
047,0124,12,996,18,0
048,0125,12,915,53,0
049,0126,12,1006,18,0
050,0201,01,996,18,0
051,0202,02,930,50,0
052,0203,05,935,46,0
053,0204,06,975,31,0
054,0205,06,945,44,1
055,0206,06,930,49,0
056,0207,07,945,43,0
057,0208,07,985,23,1
058,0209,07,915,51,1
059,0210,07,1002,18,0
060,0211,07,960,36,0
061,0212,08,980,26,0
062,0213,08,940,44,0
063,0214,08,985,21,0
064,0215,08,950,41,1
065,0216,08,950,41,0
066,0217,08,940,46,0
067,0218,09,990,18,0
068,0219,09,985,21,0
069,0220,09,990,21,0
070,0221,09,930,46,0
071,0222,10,985,26,0
072,0223,10,980,28,0
073,0224,11,985,33,0
074,0225,11,955,36,0
075,0226,12,940,46,0
076,0301,01,998,18,0
077,0302,04,930,46,0
078,0303,05,940,44,0
079,0304,05,980,28,1
080,0305,06,985,28,0
081,0306,06,955,45,1
082,0307,07,930,44,0
083,0308,07,975,31,0
084,0309,08,990,23,0
085,0310,08,945,41,1
086,0311,08,996,18,0
087,0312,08,970,33,0
